poly_ID,poly_SMI,dimer,quadmer,octamer,EA,IP
0_14,Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,O=C(Nc1ccccc1-c1cc(F)ccc1F)c1ccccc1,O=C(Nc1cc(-c2cc(F)c(-c3ccccc3NC(=O)c3ccccc3)cc2F)ccc1-c1cc(F)ccc1F)c1ccccc1,O=C(Nc1cc(-c2cc(F)c(-c3ccc(-c4cc(F)c(-c5ccc(-c6cc(F)c(-c7ccccc7NC(=O)c7ccccc7)cc6F)cc5NC(=O)c5ccccc5)cc4F)cc3NC(=O)c3ccccc3)cc2F)ccc1-c1cc(F)ccc1F)c1ccccc1,-2.952621558,1.986674313
0_15,Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,Fc1ccc(F)c(-c2cccc3sc(-c4ccccc4)nc23)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4cccc5sc(-c6ccccc6)nc45)cc3F)c3sc(-c4ccccc4)nc23)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4ccc(-c5cc(F)c(-c6ccc(-c7cc(F)c(-c8cccc9sc(-c%10ccccc%10)nc89)cc7F)c7sc(-c8ccccc8)nc67)cc5F)c5sc(-c6ccccc6)nc45)cc3F)c3sc(-c4ccccc4)nc23)c1,-2.481356555,1.892204341
0_16,Fc1ccc(F)cc1.COc1ccccc1,COc1cccc(-c2cc(F)ccc2F)c1,COc1cccc(-c2cc(F)c(-c3cc(OC)cc(-c4cc(F)ccc4F)c3)cc2F)c1,COc1cccc(-c2cc(F)c(-c3cc(OC)cc(-c4cc(F)c(-c5cc(OC)cc(-c6cc(F)c(-c7cc(OC)cc(-c8cc(F)ccc8F)c7)cc6F)c5)cc4F)c3)cc2F)c1,-3.156966778,1.986973013
0_17,Fc1ccc(F)cc1.OCc1ccccn1,OCc1ccc(-c2cc(F)ccc2F)cn1,OCc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)cnc3CO)cc2F)cn1,OCc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)cnc7CO)cc6F)cnc5CO)cc4F)cnc3CO)cc2F)cn1,-2.948835089,2.300451505
0_18,Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,O=C(Cl)c1cccc(-c2cc(F)ccc2F)c1,O=C(Cl)c1cccc(-c2cc(F)c(-c3cc(C(=O)Cl)cc(-c4cc(F)ccc4F)c3)cc2F)c1,O=C(Cl)c1cccc(-c2cc(F)c(-c3cc(C(=O)Cl)cc(-c4cc(F)c(-c5cc(C(=O)Cl)cc(-c6cc(F)c(-c7cc(C(=O)Cl)cc(-c8cc(F)ccc8F)c7)cc6F)c5)cc4F)c3)cc2F)c1,-2.056503746,2.704185552
0_19,Fc1ccc(F)cc1.Cc1cncs1,Cc1cnc(-c2cc(F)ccc2F)s1,Cc1cnc(-c2cc(F)c(-c3nc(-c4cc(F)ccc4F)sc3C)cc2F)s1,Cc1cnc(-c2cc(F)c(-c3nc(-c4cc(F)c(-c5nc(-c6cc(F)c(-c7nc(-c8cc(F)ccc8F)sc7C)cc6F)sc5C)cc4F)sc3C)cc2F)s1,-2.514267369,1.745264567
0_20,Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,CC(C)(C)c1cc2ccc3ccc(-c4cc(F)ccc4F)c4ccc(c1)c2c34,CC(C)(C)c1cc2ccc3ccc(-c4cc(F)c(-c5cc(-c6cc(F)ccc6F)c6ccc7cc(C(C)(C)C)cc8ccc5c6c78)cc4F)c4ccc(c1)c2c34,CC(C)(C)c1cc2ccc3ccc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)c(-c9cc(-c%10cc(F)ccc%10F)c%10ccc%11cc(C(C)(C)C)cc%12ccc9c%10c%11%12)cc8F)c8ccc9cc(C(C)(C)C)cc%10ccc7c8c9%10)cc6F)c6ccc7cc(C(C)(C)C)cc8ccc5c6c87)cc4F)c4ccc(c1)c2c34,-2.501885313,1.439155616
0_21,Fc1ccc(F)cc1.c1ccc2[nH]ncc2c1,Fc1ccc(F)c(-c2cccc3[nH]ncc23)c1,Fc1ccc(F)c(-c2cc(-c3cc(F)c(-c4cccc5[nH]ncc45)cc3F)cc3[nH]ncc23)c1,Fc1ccc(F)c(-c2cc(-c3cc(F)c(-c4cc(-c5cc(F)c(-c6cc(-c7cc(F)c(-c8cccc9[nH]ncc89)cc7F)cc7[nH]ncc67)cc5F)cc5[nH]ncc45)cc3F)cc3[nH]ncc23)c1,-2.929335183,1.797564241
0_22,Fc1ccc(F)cc1.O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccc(-c2cc(F)ccc2F)cc1,O=C(c1ccccc1)c1ccc(-c2cc(F)c(-c3ccc(C(=O)c4ccc(-c5cc(F)ccc5F)cc4)cc3)cc2F)cc1,O=C(c1ccccc1)c1ccc(-c2cc(F)c(-c3ccc(C(=O)c4ccc(-c5cc(F)c(-c6ccc(C(=O)c7ccc(-c8cc(F)c(-c9ccc(C(=O)c%10ccc(-c%11cc(F)ccc%11F)cc%10)cc9)cc8F)cc7)cc6)cc5F)cc4)cc3)cc2F)cc1,-2.254818759,2.348844304
0_23,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccc(-c2cc(F)ccc2F)cc1,O=[N+]([O-])c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)ccc3[N+](=O)[O-])cc2F)cc1,O=[N+]([O-])c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)ccc7[N+](=O)[O-])cc6F)ccc5[N+](=O)[O-])cc4F)ccc3[N+](=O)[O-])cc2F)cc1,-1.729377126,2.784075356
0_24,Fc1ccc(F)cc1.O=c1cc[nH]cc1,O=c1cc[nH]c(-c2cc(F)ccc2F)c1,O=c1cc[nH]c(-c2cc(F)c(-c3cc(=O)cc(-c4cc(F)ccc4F)[nH]3)cc2F)c1,O=c1cc[nH]c(-c2cc(F)c(-c3cc(=O)cc(-c4cc(F)c(-c5cc(=O)cc(-c6cc(F)c(-c7cc(=O)cc(-c8cc(F)ccc8F)[nH]7)cc6F)[nH]5)cc4F)[nH]3)cc2F)c1,-2.623690981,1.942375953
0_25,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1-c1cc(F)ccc1F,O=[N+]([O-])c1ccccc1-c1cc(F)c(-c2cccc(-c3cc(F)ccc3F)c2[N+](=O)[O-])cc1F,O=[N+]([O-])c1ccccc1-c1cc(F)c(-c2cccc(-c3cc(F)c(-c4cccc(-c5cc(F)c(-c6cccc(-c7cc(F)ccc7F)c6[N+](=O)[O-])cc5F)c4[N+](=O)[O-])cc3F)c2[N+](=O)[O-])cc1F,-1.875607096,2.795272716
0_26,Fc1ccc(F)cc1.c1ccncc1,Fc1ccc(F)c(-c2ccccn2)c1,Fc1ccc(F)c(-c2cccc(-c3cc(F)c(-c4ccccn4)cc3F)n2)c1,Fc1ccc(F)c(-c2cccc(-c3cc(F)c(-c4cccc(-c5cc(F)c(-c6cccc(-c7cc(F)c(-c8ccccn8)cc7F)n6)cc5F)n4)cc3F)n2)c1,-2.795959845,2.229744691
0_27,Fc1ccc(F)cc1.S=C=Nc1ccccc1,Fc1ccc(F)c(-c2cccc(N=C=S)c2)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4cccc(N=C=S)c4)cc3F)c(N=C=S)c2)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4ccc(-c5cc(F)c(-c6ccc(-c7cc(F)c(-c8cccc(N=C=S)c8)cc7F)c(N=C=S)c6)cc5F)c(N=C=S)c4)cc3F)c(N=C=S)c2)c1,-2.733649846,2.071342899
0_28,Fc1ccc(F)cc1.c1cc2n[nH]cc2cn1,Fc1ccc(F)c(-c2[nH]nc3ccncc23)c1,Fc1ccc(F)c(-c2[nH]nc3c(-c4cc(F)c(-c5[nH]nc6ccncc56)cc4F)cncc23)c1,Fc1ccc(F)c(-c2[nH]nc3c(-c4cc(F)c(-c5[nH]nc6c(-c7cc(F)c(-c8[nH]nc9c(-c%10cc(F)c(-c%11[nH]nc%12ccncc%11%12)cc%10F)cncc89)cc7F)cncc56)cc4F)cncc23)c1,-2.324138283,1.718363109
0_29,Fc1ccc(F)cc1.CC(C)(C)N=[N+]([O-])c1ccccc1[N+](=O)[O-],CC(C)(C)N=[N+]([O-])c1ccc(-c2cc(F)ccc2F)cc1[N+](=O)[O-],CC(C)(C)N=[N+]([O-])c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)cc([N+](=O)[O-])c3[N+]([O-])=NC(C)(C)C)cc2F)cc1[N+](=O)[O-],CC(C)(C)N=[N+]([O-])c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)cc([N+](=O)[O-])c7[N+]([O-])=NC(C)(C)C)cc6F)cc([N+](=O)[O-])c5[N+]([O-])=NC(C)(C)C)cc4F)cc([N+](=O)[O-])c3[N+]([O-])=NC(C)(C)C)cc2F)cc1[N+](=O)[O-],-1.591303797,2.941989389
0_30,Fc1ccc(F)cc1.Nc1ccc2[nH]cnc2c1,Nc1ccc2[nH]cnc2c1-c1cc(F)ccc1F,Nc1ccc2[nH]cnc2c1-c1cc(F)c(-c2cc3[nH]cnc3c(-c3cc(F)ccc3F)c2N)cc1F,Nc1ccc2[nH]cnc2c1-c1cc(F)c(-c2cc3[nH]cnc3c(-c3cc(F)c(-c4cc5[nH]cnc5c(-c5cc(F)c(-c6cc7[nH]cnc7c(-c7cc(F)ccc7F)c6N)cc5F)c4N)cc3F)c2N)cc1F,-3.585409032,1.027278826
0_31,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1cccc(-c2cc(F)ccc2F)c1,O=[N+]([O-])c1cccc(-c2cc(F)c(-c3ccc(-c4cc(F)ccc4F)cc3[N+](=O)[O-])cc2F)c1,O=[N+]([O-])c1cccc(-c2cc(F)c(-c3ccc(-c4cc(F)c(-c5ccc(-c6cc(F)c(-c7ccc(-c8cc(F)ccc8F)cc7[N+](=O)[O-])cc6F)cc5[N+](=O)[O-])cc4F)cc3[N+](=O)[O-])cc2F)c1,-1.838911329,2.648247512
0_32,Fc1ccc(F)cc1.Nc1ccccc1OC(F)(F)F,Nc1c(OC(F)(F)F)cccc1-c1cc(F)ccc1F,Nc1c(OC(F)(F)F)cccc1-c1cc(F)c(-c2cc(OC(F)(F)F)c(N)c(-c3cc(F)ccc3F)c2)cc1F,Nc1c(OC(F)(F)F)cccc1-c1cc(F)c(-c2cc(OC(F)(F)F)c(N)c(-c3cc(F)c(-c4cc(OC(F)(F)F)c(N)c(-c5cc(F)c(-c6cc(OC(F)(F)F)c(N)c(-c7cc(F)ccc7F)c6)cc5F)c4)cc3F)c2)cc1F,-2.943616207,1.500497271
0_33,Fc1ccc(F)cc1.Cc1ccnnc1,Cc1cnnc(-c2cc(F)ccc2F)c1,Cc1cnnc(-c2cc(F)c(-c3nnc(-c4cc(F)ccc4F)cc3C)cc2F)c1,Cc1cnnc(-c2cc(F)c(-c3nnc(-c4cc(F)c(-c5nnc(-c6cc(F)c(-c7nnc(-c8cc(F)ccc8F)cc7C)cc6F)cc5C)cc4F)cc3C)cc2F)c1,-2.516725512,2.284664508
0_34,Fc1ccc(F)cc1.O=C(O)c1cnccn1,O=C(O)c1cncc(-c2cc(F)ccc2F)n1,O=C(O)c1cncc(-c2cc(F)c(-c3ncc(-c4cc(F)ccc4F)nc3C(=O)O)cc2F)n1,O=C(O)c1cncc(-c2cc(F)c(-c3ncc(-c4cc(F)c(-c5ncc(-c6cc(F)c(-c7ncc(-c8cc(F)ccc8F)nc7C(=O)O)cc6F)nc5C(=O)O)cc4F)nc3C(=O)O)cc2F)n1,-1.823413573,2.474309945
0_35,Fc1ccc(F)cc1.N#Cc1c(N)cccc1Cl,N#Cc1c(Cl)ccc(-c2cc(F)ccc2F)c1N,N#Cc1c(Cl)ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)c(N)c(C#N)c3Cl)cc2F)c1N,N#Cc1c(Cl)ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)c(N)c(C#N)c7Cl)cc6F)c(N)c(C#N)c5Cl)cc4F)c(N)c(C#N)c3Cl)cc2F)c1N,-2.905590016,1.707907068
0_36,Fc1ccc(F)cc1.Clc1ccccn1,Fc1ccc(F)c(-c2cccnc2Cl)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4cccnc4Cl)cc3F)nc2Cl)c1,Fc1ccc(F)c(-c2ccc(-c3cc(F)c(-c4ccc(-c5cc(F)c(-c6ccc(-c7cc(F)c(-c8cccnc8Cl)cc7F)nc6Cl)cc5F)nc4Cl)cc3F)nc2Cl)c1,-2.460030065,2.38464609
0_37,Fc1ccc(F)cc1.Cc1cc(C)cc(N)c1,Cc1cc(N)cc(C)c1-c1cc(F)ccc1F,Cc1cc(N)cc(C)c1-c1cc(F)c(-c2c(N)cc(C)c(-c3cc(F)ccc3F)c2C)cc1F,Cc1cc(N)cc(C)c1-c1cc(F)c(-c2c(N)cc(C)c(-c3cc(F)c(-c4c(N)cc(C)c(-c5cc(F)c(-c6c(N)cc(C)c(-c7cc(F)ccc7F)c6C)cc5F)c4C)cc3F)c2C)cc1F,-3.779506089,1.321896634
0_38,Fc1ccc(F)cc1.Cc1cncn1C,Cc1cnc(-c2cc(F)ccc2F)n1C,Cc1cnc(-c2cc(F)c(-c3nc(-c4cc(F)ccc4F)n(C)c3C)cc2F)n1C,Cc1cnc(-c2cc(F)c(-c3nc(-c4cc(F)c(-c5nc(-c6cc(F)c(-c7nc(-c8cc(F)ccc8F)n(C)c7C)cc6F)n(C)c5C)cc4F)n(C)c3C)cc2F)n1C,-3.466630052,1.431916465
0_39,Fc1ccc(F)cc1.Fc1cccc(F)c1,Fc1ccc(-c2cc(F)ccc2F)c(F)c1,Fc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)c(F)cc3F)cc2F)c(F)c1,Fc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)c(F)cc7F)cc6F)c(F)cc5F)cc4F)c(F)cc3F)cc2F)c(F)c1,-2.899126297,2.471452828
0_40,Fc1ccc(F)cc1.COC(=O)c1ccc(N)cn1,COC(=O)c1cc(-c2cc(F)ccc2F)c(N)cn1,COC(=O)c1cc(-c2cc(F)c(-c3nc(C(=O)OC)cc(-c4cc(F)ccc4F)c3N)cc2F)c(N)cn1,COC(=O)c1cc(-c2cc(F)c(-c3nc(C(=O)OC)cc(-c4cc(F)c(-c5nc(C(=O)OC)cc(-c6cc(F)c(-c7nc(C(=O)OC)cc(-c8cc(F)ccc8F)c7N)cc6F)c5N)cc4F)c3N)cc2F)c(N)cn1,-2.842725464,1.756294411
0_41,Fc1ccc(F)cc1.O=C(O)c1cccnc1,O=C(O)c1cccnc1-c1cc(F)ccc1F,O=C(O)c1cccnc1-c1cc(F)c(-c2ccc(C(=O)O)c(-c3cc(F)ccc3F)n2)cc1F,O=C(O)c1cccnc1-c1cc(F)c(-c2ccc(C(=O)O)c(-c3cc(F)c(-c4ccc(C(=O)O)c(-c5cc(F)c(-c6ccc(C(=O)O)c(-c7cc(F)ccc7F)n6)cc5F)n4)cc3F)n2)cc1F,-2.16379575,2.644797508
0_42,Fc1ccc(F)cc1.[C-]#[N+]c1ccc(C)cc1,[C-]#[N+]c1ccc(C)cc1-c1cc(F)ccc1F,[C-]#[N+]c1ccc(C)cc1-c1cc(F)c(-c2cc(C)cc(-c3cc(F)ccc3F)c2[N+]#[C-])cc1F,[C-]#[N+]c1ccc(C)cc1-c1cc(F)c(-c2cc(C)cc(-c3cc(F)c(-c4cc(C)cc(-c5cc(F)c(-c6cc(C)cc(-c7cc(F)ccc7F)c6[N+]#[C-])cc5F)c4[N+]#[C-])cc3F)c2[N+]#[C-])cc1F,-3.06318331,2.408117255
0_43,Fc1ccc(F)cc1.CCOC(=O)c1ccc(N)cc1,CCOC(=O)c1ccc(N)c(-c2cc(F)ccc2F)c1,CCOC(=O)c1ccc(N)c(-c2cc(F)c(-c3cc(C(=O)OCC)cc(-c4cc(F)ccc4F)c3N)cc2F)c1,CCOC(=O)c1ccc(N)c(-c2cc(F)c(-c3cc(C(=O)OCC)cc(-c4cc(F)c(-c5cc(C(=O)OCC)cc(-c6cc(F)c(-c7cc(C(=O)OCC)cc(-c8cc(F)ccc8F)c7N)cc6F)c5N)cc4F)c3N)cc2F)c1,-3.249255162,1.633973271
0_44,Fc1ccc(F)cc1.COc1cccc(N)c1,COc1ccc(-c2cc(F)ccc2F)c(N)c1,COc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)c(N)cc3OC)cc2F)c(N)c1,COc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)c(N)cc7OC)cc6F)c(N)cc5OC)cc4F)c(N)cc3OC)cc2F)c(N)c1,-3.644346265,1.124679189
0_45,Fc1ccc(F)cc1.Nc1ccccc1,Nc1ccc(-c2cc(F)ccc2F)cc1,Nc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)ccc3N)cc2F)cc1,Nc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)ccc7N)cc6F)ccc5N)cc4F)ccc3N)cc2F)cc1,-3.618276934,1.152594566
0_46,Fc1ccc(F)cc1.O=C(O)c1cccnc1,O=C(O)c1ccc(-c2cc(F)ccc2F)nc1,O=C(O)c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)ncc3C(=O)O)cc2F)nc1,O=C(O)c1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)ncc7C(=O)O)cc6F)ncc5C(=O)O)cc4F)ncc3C(=O)O)cc2F)nc1,-2.101137854,2.742721407
0_47,Fc1ccc(F)cc1.CCOc1ccc(C=CC(=O)O)cc1,CCOc1ccc(C=CC(=O)O)cc1-c1cc(F)ccc1F,CCOc1ccc(C=CC(=O)O)cc1-c1cc(F)c(-c2cc(C=CC(=O)O)cc(-c3cc(F)ccc3F)c2OCC)cc1F,CCOc1ccc(C=CC(=O)O)cc1-c1cc(F)c(-c2cc(C=CC(=O)O)cc(-c3cc(F)c(-c4cc(C=CC(=O)O)cc(-c5cc(F)c(-c6cc(C=CC(=O)O)cc(-c7cc(F)ccc7F)c6OCC)cc5F)c4OCC)cc3F)c2OCC)cc1F,-2.631572922,1.988243053
0_48,Fc1ccc(F)cc1.Fc1cccnc1,Fc1ccc(-c2cc(F)ccc2F)nc1,Fc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)ncc3F)cc2F)nc1,Fc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)ncc7F)cc6F)ncc5F)cc4F)ncc3F)cc2F)nc1,-2.519302359,2.563548139
