poly_ID,monoA,monoB,poly_SMI,EA,IP
0_26,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cccc(Br)n1,Fc1ccc(F)cc1.c1ccncc1,-2.795959845,2.229744691
0_27,OB(O)c1cc(F)c(B(O)O)cc1F,S=C=Nc1cc(Br)ccc1Br,Fc1ccc(F)cc1.S=C=Nc1ccccc1,-2.733649846,2.071342899
0_28,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1[nH]nc2c(Br)cncc12,Fc1ccc(F)cc1.c1cc2n[nH]cc2cn1,-2.324138283,1.718363109
0_29,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)(C)N=[N+]([O-])c1c(Br)cc(Br)cc1[N+](=O)[O-],Fc1ccc(F)cc1.CC(C)(C)N=[N+]([O-])c1ccccc1[N+](=O)[O-],-1.591303797,2.941989389
0_30,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1c(Br)cc2[nH]cnc2c1Br,Fc1ccc(F)cc1.Nc1ccc2[nH]cnc2c1,-3.585409032,1.027278826
0_31,OB(O)c1cc(F)c(B(O)O)cc1F,O=[N+]([O-])c1cc(Br)ccc1Br,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.838911329,2.648247512
0_32,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1c(Br)cc(Br)cc1OC(F)(F)F,Fc1ccc(F)cc1.Nc1ccccc1OC(F)(F)F,-2.943616207,1.500497271
0_33,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)nnc1Br,Fc1ccc(F)cc1.Cc1ccnnc1,-2.516725512,2.284664508
0_34,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1nc(Br)cnc1Br,Fc1ccc(F)cc1.O=C(O)c1cnccn1,-1.823413573,2.474309945
0_35,OB(O)c1cc(F)c(B(O)O)cc1F,N#Cc1c(N)c(Br)cc(Br)c1Cl,Fc1ccc(F)cc1.N#Cc1c(N)cccc1Cl,-2.905590016,1.707907068
0_36,OB(O)c1cc(F)c(B(O)O)cc1F,Clc1nc(Br)ccc1Br,Fc1ccc(F)cc1.Clc1ccccn1,-2.460030065,2.38464609
0_37,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(N)c(Br)c(C)c1Br,Fc1ccc(F)cc1.Cc1cc(C)cc(N)c1,-3.779506089,1.321896634
0_38,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)nc(Br)n1C,Fc1ccc(F)cc1.Cc1cncn1C,-3.466630052,1.431916465
0_39,OB(O)c1cc(F)c(B(O)O)cc1F,Fc1cc(F)c(Br)cc1Br,Fc1ccc(F)cc1.Fc1cccc(F)c1,-2.899126297,2.471452828
0_40,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1cc(Br)c(N)c(Br)n1,Fc1ccc(F)cc1.COC(=O)c1ccc(N)cn1,-2.842725464,1.756294411
0_41,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1ccc(Br)nc1Br,Fc1ccc(F)cc1.O=C(O)c1cccnc1,-2.16379575,2.644797508
0_42,OB(O)c1cc(F)c(B(O)O)cc1F,[C-]#[N+]c1c(Br)cc(C)cc1Br,Fc1ccc(F)cc1.[C-]#[N+]c1ccc(C)cc1,-3.06318331,2.408117255
0_43,OB(O)c1cc(F)c(B(O)O)cc1F,CCOC(=O)c1cc(Br)c(N)c(Br)c1,Fc1ccc(F)cc1.CCOC(=O)c1ccc(N)cc1,-3.249255162,1.633973271
0_44,OB(O)c1cc(F)c(B(O)O)cc1F,COc1cc(N)c(Br)cc1Br,Fc1ccc(F)cc1.COc1cccc(N)c1,-3.644346265,1.124679189
0_45,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1ccc(Br)cc1Br,Fc1ccc(F)cc1.Nc1ccccc1,-3.618276934,1.152594566
0_46,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1cnc(Br)cc1Br,Fc1ccc(F)cc1.O=C(O)c1cccnc1,-2.101137854,2.742721407
0_47,OB(O)c1cc(F)c(B(O)O)cc1F,CCOc1c(Br)cc(C=CC(=O)O)cc1Br,Fc1ccc(F)cc1.CCOc1ccc(C=CC(=O)O)cc1,-2.631572922,1.988243053
0_48,OB(O)c1cc(F)c(B(O)O)cc1F,Fc1cnc(Br)cc1Br,Fc1ccc(F)cc1.Fc1cccnc1,-2.519302359,2.563548139
0_49,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)cc(Cl)c(Br)c1Cl,Fc1ccc(F)cc1.Cc1ccc(Cl)cc1Cl,-3.111891609,2.658172479
0_50,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cccc2c1oc1c(Br)cccc12,Fc1ccc(F)cc1.c1ccc2c(c1)oc1ccccc12,-2.903634783,1.901607013
0_51,OB(O)c1cc(F)c(B(O)O)cc1F,CCc1c(Br)cccc1Br,Fc1ccc(F)cc1.CCc1ccccc1,-3.631201467,2.473608631
0_52,OB(O)c1cc(F)c(B(O)O)cc1F,CCOc1c(Br)cc(F)cc1Br,Fc1ccc(F)cc1.CCOc1ccc(F)cc1,-3.065207686,2.174261875
0_53,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc(Br)c2nccnc12,Fc1ccc(F)cc1.c1ccc2nccnc2c1,-2.09015122,2.056724411
0_54,OB(O)c1cc(F)c(B(O)O)cc1F,CCOc1cc(N)c(Br)nc1Br,Fc1ccc(F)cc1.CCOc1cncc(N)c1,-3.413719708,1.214522565
0_55,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cc(Br)cc(-c2ccccc2)c1,Fc1ccc(F)cc1.c1ccc(-c2ccccc2)cc1,-3.174495458,2.089631886
0_56,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)Oc1c(Br)cc(Br)cc1C=O,Fc1ccc(F)cc1.CC(C)Oc1ccccc1C=O,-2.48341731,2.206643839
0_57,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c(c1)C1(CCOCC1)c1cc(Br)ccc1-2,Fc1ccc(F)cc1.c1ccc2c(c1)-c1ccccc1C21CCOCC1,-2.779887695,1.746411205
0_58,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(F)cc(Br)cc1Br,Fc1ccc(F)cc1.Cc1ccccc1F,-3.08312192,2.372493343
0_59,OB(O)c1cc(F)c(B(O)O)cc1F,Clc1cc(Br)cc(Br)c1Cl,Fc1ccc(F)cc1.Clc1ccccc1Cl,-2.71440618,2.544945433
0_60,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c(c1)c1cc(Br)ccc1n2CC1CO1,Fc1ccc(F)cc1.c1ccc2c(c1)c1ccccc1n2CC1CO1,-3.424434129,1.292793768
0_61,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cc2ccc3cc(Br)cc4ccc(c1)c2c34,Fc1ccc(F)cc1.c1cc2ccc3cccc4ccc(c1)c2c34,-2.726425326,1.472153354
0_62,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cncc1Br,Fc1ccc(F)cc1.COc1ccncc1,-3.178908156,2.280491579
0_63,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(C)cc1Br,Fc1ccc(F)cc1.Cc1ccc(C)cc1,-3.537634032,2.235330222
0_64,OB(O)c1cc(F)c(B(O)O)cc1F,CC(=O)c1cc(Br)c(N)c(Br)c1,Fc1ccc(F)cc1.CC(=O)c1ccc(N)cc1,-3.068139237,1.615001221
0_65,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(Cl)c(Br)c1,Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.20850637,2.437515398
0_66,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cc([N+](=O)[O-])c(C)c1Br,Fc1ccc(F)cc1.COc1ccc([N+](=O)[O-])c(C)c1,-1.948613227,2.59590974
0_67,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1ncc(Br)nc1Br,Fc1ccc(F)cc1.COC(=O)c1cnccn1,-1.939271881,2.468368696
0_68,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1ccccc1-c1ccc2cc(Br)cc(Br)c2n1,Fc1ccc(F)cc1.Oc1ccccc1-c1ccc2ccccc2n1,-2.441433328,1.691683735
0_69,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cc(CN)cc1Br,Fc1ccc(F)cc1.COc1ccc(CN)cc1,-3.319583044,1.83474694
0_70,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1nc(N)c(Br)cc1Br,Fc1ccc(F)cc1.Cc1cccc(N)n1,-3.430831241,1.433667014
0_71,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)cc(Br)c1N,Fc1ccc(F)cc1.Cc1ccccc1N,-3.62602491,1.156383238
0_72,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cccc(Br)c1,Fc1ccc(F)cc1.c1ccccc1,-3.183895343,2.204297095
0_73,OB(O)c1cc(F)c(B(O)O)cc1F,CC(Oc1ccc(Br)cc1Br)C(=O)Cl,Fc1ccc(F)cc1.CC(Oc1ccccc1)C(=O)Cl,-2.852295226,2.028380268
0_74,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cc2cc3sc(Br)cc3cc2s1,Fc1ccc(F)cc1.c1cc2cc3sccc3cc2s1,-2.282787641,1.24889396
0_75,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1nc(Br)cnc1Br,Fc1ccc(F)cc1.O=Cc1cnccn1,-1.798087416,2.317429451
0_76,OB(O)c1cc(F)c(B(O)O)cc1F,CC(=O)Oc1c(Br)cc(C=O)cc1Br,Fc1ccc(F)cc1.CC(=O)Oc1ccc(C=O)cc1,-2.230131437,2.704036179
0_77,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ncc(Br)c2[nH]ccc12,Fc1ccc(F)cc1.c1cc2[nH]ccc2cn1,-2.928851315,1.515049025
0_78,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1cc(Br)cnc1Br,Fc1ccc(F)cc1.COC(=O)c1cccnc1,-2.354929867,2.5671889
0_79,OB(O)c1cc(F)c(B(O)O)cc1F,COCn1nc(Br)nc1Br,Fc1ccc(F)cc1.COCn1cncn1,-2.751091693,2.417069372
0_80,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1c(Br)cc(F)nc1Br,Fc1ccc(F)cc1.Oc1ccc(F)nc1,-2.57720924,2.294947371
0_81,OB(O)c1cc(F)c(B(O)O)cc1F,CCc1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.CCc1ccccc1,-3.185519257,2.19188283
0_82,OB(O)c1cc(F)c(B(O)O)cc1F,COc1cc(Br)c2ncccc2c1Br,Fc1ccc(F)cc1.COc1ccc2ncccc2c1,-2.607983606,1.838754412
0_83,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(F)cc(Br)c(N)c1Br,Fc1ccc(F)cc1.Cc1cc(N)ccc1F,-3.49545462,1.450937157
0_84,OB(O)c1cc(F)c(B(O)O)cc1F,Clc1ncnc2c(Br)cc(Br)cc12,Fc1ccc(F)cc1.Clc1ncnc2ccccc12,-2.010757886,2.381493355
0_85,OB(O)c1cc(F)c(B(O)O)cc1F,O=C1c2cc(Br)ccc2-c2ccc(Br)cc21,Fc1ccc(F)cc1.O=C1c2ccccc2-c2ccccc21,-1.855663694,1.998952907
0_86,OB(O)c1cc(F)c(B(O)O)cc1F,CCc1ncc(Br)cc1Br,Fc1ccc(F)cc1.CCc1ccccn1,-3.069022927,2.299974128
0_87,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)(C)c1cc(Br)c(N)c(Br)c1,Fc1ccc(F)cc1.CC(C)(C)c1ccc(N)cc1,-3.53382638,1.314437859
0_88,OB(O)c1cc(F)c(B(O)O)cc1F,FC(F)(F)c1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.FC(F)(F)c1ccccc1,-2.825030702,2.564719766
0_89,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1cc(Br)cc(Br)c1F,Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.273632124,2.607108689
0_90,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cc(C=O)cc1Br,Fc1ccc(F)cc1.COc1ccc(C=O)cc1,-2.546918152,2.344307406
0_91,OB(O)c1cc(F)c(B(O)O)cc1F,CCCOc1c(Br)cc(C=CC(=O)O)cc1Br,Fc1ccc(F)cc1.CCCOc1ccc(C=CC(=O)O)cc1,-2.409778544,2.145355837
0_92,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)cc(O)cc1Br,Fc1ccc(F)cc1.Cc1ccc(O)cc1,-3.472496328,1.951951858
0_93,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)cc([N+](=O)[O-])c1Br,Fc1ccc(F)cc1.Cc1cccc([N+](=O)[O-])c1,-1.841659045,2.703969089
0_94,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)cc(N)cc1Br,Fc1ccc(F)cc1.Cc1ccc(N)cc1,-3.704651199,1.259945717
0_95,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1cc(Br)c(C(=O)O)cc1Br,Fc1ccc(F)cc1.O=C(O)c1ccc(C(=O)O)cc1,-2.069124614,2.825255163
0_96,OB(O)c1cc(F)c(B(O)O)cc1F,Fc1cc(Br)cc(F)c1Br,Fc1ccc(F)cc1.Fc1cccc(F)c1,-2.731976031,2.496438369
0_97,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)Cc1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.COC(=O)Cc1ccccc1,-3.048240077,2.342443754
0_98,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1nc2[nH]cc(Br)c2cc1Br,Fc1ccc(F)cc1.Cc1ccc2cc[nH]c2n1,-3.342052666,1.530941796
0_99,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(N)c(Br)n1,Fc1ccc(F)cc1.Cc1ccc(N)cn1,-3.227418542,1.369321093
0_100,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2cc(Br)ccc2c1,Fc1ccc(F)cc1.c1ccc2ccccc2c1,-2.826312119,1.747528427
0_101,OB(O)c1cc(F)c(B(O)O)cc1F,COc1cc([N+](=O)[O-])c(Br)nc1Br,Fc1ccc(F)cc1.COc1cncc([N+](=O)[O-])c1,-1.612364907,2.389960487
0_102,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1nc(Br)sc1Br,Fc1ccc(F)cc1.Cc1cscn1,-2.156181351,1.724497613
0_103,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc(Br)[nH]1,Fc1ccc(F)cc1.c1cc[nH]c1,-3.040714297,0.914261895
0_104,OB(O)c1cc(F)c(B(O)O)cc1F,Fc1cc(Br)c(Cl)c(Br)c1,Fc1ccc(F)cc1.Fc1ccc(Cl)cc1,-3.011106864,2.684255143
0_105,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cnnc(Br)c1,Fc1ccc(F)cc1.c1ccnnc1,-2.277602891,2.329712875
0_106,OB(O)c1cc(F)c(B(O)O)cc1F,O=S1(=O)c2ccc(Br)cc2-c2cc(Br)ccc21,Fc1ccc(F)cc1.O=S1(=O)c2ccccc2-c2ccccc21,-2.535440906,2.277493685
0_107,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1cc(Br)cnc1Br,Fc1ccc(F)cc1.Nc1cccnc1,-3.089911569,1.42315274
0_108,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cc(Cl)c(N)c1Br,Fc1ccc(F)cc1.COc1ccc(Cl)c(N)c1,-3.339524484,1.487118455
0_109,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1nc(Br)cnc1Br,Fc1ccc(F)cc1.Nc1cnccn1,-2.527126558,1.567095607
0_110,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc(Br)c2[nH]ccc12,Fc1ccc(F)cc1.c1ccc2[nH]ccc2c1,-3.182800406,1.292461227
0_111,OB(O)c1cc(F)c(B(O)O)cc1F,O=[N+]([O-])c1nc(Br)[nH]c1Br,Fc1ccc(F)cc1.O=[N+]([O-])c1c[nH]cn1,-1.989939976,2.282094767
0_112,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cc(I)c(Br)cc1I,Fc1ccc(F)cc1.Ic1ccc(I)cc1,-3.681542125,1.926289622
0_113,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cncc(Br)n1,Fc1ccc(F)cc1.c1cnccn1,-2.381495201,2.186557239
0_114,OB(O)c1cc(F)c(B(O)O)cc1F,O=C1OC(=O)c2cc(Br)c(Br)cc21,Fc1ccc(F)cc1.O=C1OC(=O)c2ccccc21,-1.324215976,3.132117051
0_115,OB(O)c1cc(F)c(B(O)O)cc1F,CC(=O)OCc1c(Br)cccc1Br,Fc1ccc(F)cc1.CC(=O)OCc1ccccc1,-3.171045093,2.553254263
0_116,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1c(Br)cc(Cl)c(F)c1Br,Fc1ccc(F)cc1.Nc1ccc(Cl)c(F)c1,-3.261357307,1.60069043
0_117,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1cc(Br)nc(Br)c1,Fc1ccc(F)cc1.O=Cc1ccncc1,-1.943994184,2.45805194
0_118,OB(O)c1cc(F)c(B(O)O)cc1F,Fc1c(F)c(Br)c(F)c(Br)c1F,Fc1ccc(F)cc1.Fc1cc(F)c(F)c(F)c1,-2.633971631,2.837417149
0_119,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)Oc1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.CC(C)Oc1ccccc1,-3.191714243,1.914554895
0_120,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2nccc(Br)c2c1,Fc1ccc(F)cc1.c1ccc2ncccc2c1,-2.521585229,2.173246359
0_121,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2sc(Br)nc2c1,Fc1ccc(F)cc1.c1ccc2scnc2c1,-2.285794951,1.982394413
0_122,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)ccc(Br)c1F,Fc1ccc(F)cc1.Cc1ccccc1F,-3.075036108,2.410604445
0_123,OB(O)c1cc(F)c(B(O)O)cc1F,Cn1c(Br)cnc1Br,Fc1ccc(F)cc1.Cn1ccnc1,-3.092654972,1.587977209
0_124,OB(O)c1cc(F)c(B(O)O)cc1F,O=c1c(Br)c[nH]cc1Br,Fc1ccc(F)cc1.O=c1cc[nH]cc1,-3.095487748,1.703378647
0_125,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1cc(Br)sc1Br,Fc1ccc(F)cc1.O=C(O)c1ccsc1,-2.069157222,2.00434804
0_126,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1nnc(Br)cc1Br,Fc1ccc(F)cc1.Nc1cccnn1,-2.747867618,1.759137125
0_127,OB(O)c1cc(F)c(B(O)O)cc1F,NNC(=O)c1cc(Br)c(O)c(Br)c1,Fc1ccc(F)cc1.NNC(=O)c1ccc(O)cc1,-3.155876448,1.944920376
0_128,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1cc(Br)cc(Br)c1OCc1ccccc1,Fc1ccc(F)cc1.O=Cc1ccccc1OCc1ccccc1,-2.428574329,2.231824129
0_129,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1c(Br)ccnc1Br,Fc1ccc(F)cc1.Nc1cccnc1,-3.219837304,1.454355708
0_130,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)cc(Br)c1[N+](=O)[O-],Fc1ccc(F)cc1.Cc1ccccc1[N+](=O)[O-],-1.84299983,2.75167193
0_131,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Br)cnc(F)c1Br,Fc1ccc(F)cc1.Cc1ccnc(F)c1,-3.09135847,2.618582001
0_132,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)Oc1c(Br)cc(C=CC(=O)O)cc1Br,Fc1ccc(F)cc1.CC(C)Oc1ccc(C=CC(=O)O)cc1,-2.60274572,2.062185368
0_133,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2nc(Br)nn2c1,Fc1ccc(F)cc1.c1ccn2ncnc2c1,-2.607740802,2.098451165
0_134,OB(O)c1cc(F)c(B(O)O)cc1F,Clc1ccc(Br)cc1Br,Fc1ccc(F)cc1.Clc1ccccc1,-2.95665655,2.361653646
0_135,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(O)c(Br)n1,Fc1ccc(F)cc1.Cc1ccc(O)cn1,-2.873632697,2.085236952
0_136,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(O)c(Br)c1,Fc1ccc(F)cc1.Cc1ccc(O)cc1,-3.262052432,1.888561073
0_137,OB(O)c1cc(F)c(B(O)O)cc1F,O=C1Cc2cc(Br)cc(Br)c2N1,Fc1ccc(F)cc1.O=C1Cc2ccccc2N1,-3.13964179,1.801671196
0_138,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1sc(Br)c2c1OCCO2,Fc1ccc(F)cc1.c1scc2c1OCCO2,-2.429708476,1.223531762
0_139,OB(O)c1cc(F)c(B(O)O)cc1F,COc1c(Br)cc(Br)c2cccnc12,Fc1ccc(F)cc1.COc1cccc2cccnc12,-2.714958466,1.623026068
0_140,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c(Br)ccnc2c1,Fc1ccc(F)cc1.c1ccc2ncccc2c1,-2.538213992,2.188152095
0_141,OB(O)c1cc(F)c(B(O)O)cc1F,ClCc1cc(Br)ccc1Br,Fc1ccc(F)cc1.ClCc1ccccc1,-2.993470045,2.39323099
0_142,OB(O)c1cc(F)c(B(O)O)cc1F,COc1ncc(Br)c(OC)c1Br,Fc1ccc(F)cc1.COc1ccnc(OC)c1,-3.233976133,2.123376277
0_143,OB(O)c1cc(F)c(B(O)O)cc1F,CCc1cc(Br)cc(Br)c1Cl,Fc1ccc(F)cc1.CCc1ccccc1Cl,-2.980294128,2.344212465
0_144,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cnc(Br)[nH]1,Fc1ccc(F)cc1.c1c[nH]cn1,-2.771119072,1.337204374
0_145,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(O)c1nc(Br)ccc1Br,Fc1ccc(F)cc1.O=C(O)c1ccccn1,-2.371314997,2.513103012
